Date,Keyword,Country,Platform,Rank,Total,Indexed,Top App
2026-06-01,song gift,US,iOS,5,170,yes,WishAI:Gift Song & Music Maker
2026-06-01,song gift,CA,iOS,7,161,yes,GiftSong: AI Song Maker
2026-06-01,song gift,AU,iOS,7,161,yes,GiftSong: AI Song Maker
2026-06-01,song gift,NZ,iOS,8,155,yes,Make Your Own Music & AI Song
2026-06-01,song gift,GB,iOS,1,162,yes,Porizo: Song Gift Maker
2026-06-01,song gift maker,US,iOS,32,188,yes,GiftSong: AI Song Maker
2026-06-01,song gift maker,CA,iOS,147,187,yes,GiftSong: AI Song Maker
2026-06-01,song gift maker,AU,iOS,92,188,yes,GiftSong: AI Song Maker
2026-06-01,song gift maker,NZ,iOS,131,179,yes,BandLab – Music Making Studio
2026-06-01,song gift maker,GB,iOS,63,185,yes,WishAI:Gift Song & Music Maker
2026-06-01,birthday song gift,US,iOS,44,173,yes,GiftSong: AI Song Maker
2026-06-01,birthday song gift,CA,iOS,,172,no,GiftSong: AI Song Maker
2026-06-01,birthday song gift,AU,iOS,136,170,yes,GiftSong: AI Song Maker
2026-06-01,birthday song gift,NZ,iOS,,157,no,OurSongs
2026-06-01,birthday song gift,GB,iOS,47,170,yes,GiftSong: AI Song Maker
2026-06-01,anniversary song gift,US,iOS,18,161,yes,GiftSong: AI Song Maker
2026-06-01,anniversary song gift,CA,iOS,103,160,yes,GiftSong: AI Song Maker
2026-06-01,anniversary song gift,AU,iOS,59,161,yes,GiftSong: AI Song Maker
2026-06-01,anniversary song gift,NZ,iOS,114,151,yes,OurSongs
2026-06-01,anniversary song gift,GB,iOS,39,159,yes,GiftSong: AI Song Maker
2026-06-01,personalized song gift,US,iOS,71,178,yes,MyTunes : AI Music Generator
2026-06-01,personalized song gift,CA,iOS,,178,no,Callie: Make Gifting Unique
2026-06-01,personalized song gift,AU,iOS,128,175,yes,AI Song Maker. Music Generator
2026-06-01,personalized song gift,NZ,iOS,,160,no,OurSongs
2026-06-01,personalized song gift,GB,iOS,89,174,yes,AI Song Maker: Personal Songs
