Date,Keyword,Country,Platform,Rank,Total,Indexed,Top App
2026-06-08,ai song generator,US,iOS,,186,no,Suno - AI Songs & Music
2026-06-08,ai song generator,CA,iOS,,195,no,Suno - AI Songs & Music
2026-06-08,ai song generator,AU,iOS,,190,no,Suno - AI Songs & Music
2026-06-08,ai song generator,NZ,iOS,,186,no,Suno - AI Songs & Music
2026-06-08,ai song generator,GB,iOS,,188,no,Suno - AI Songs & Music
2026-06-08,anniversary song gift,US,iOS,47,164,yes,GiftSong
2026-06-08,anniversary song gift,CA,iOS,127,165,yes,Giftagram: Gifting Made Easy
2026-06-08,anniversary song gift,AU,iOS,78,162,yes,GiftSong
2026-06-08,anniversary song gift,NZ,iOS,,165,no,"SodaGift – Earn, Save, Gift"
2026-06-08,anniversary song gift,GB,iOS,88,160,yes,GiftSong
2026-06-08,birthday gift ideas,US,iOS,,174,no,Gift Ideas:Birthday & Calendar
2026-06-08,birthday gift ideas,CA,iOS,,173,no,GiftKeeper - Gift Idea Manager
2026-06-08,birthday gift ideas,AU,iOS,,169,no,GiftKeeper - Gift Idea Manager
2026-06-08,birthday gift ideas,NZ,iOS,,173,no,Gift Ideas: Birthday Calendar
2026-06-08,birthday gift ideas,GB,iOS,,172,no,Unwrapped - Gift Ideas
2026-06-08,birthday song,US,iOS,82,190,yes,Birthday Song With Name - bday
2026-06-08,birthday song,CA,iOS,,185,no,Happy Birthday Songs
2026-06-08,birthday song,AU,iOS,,185,no,Happy Birthday Songs
2026-06-08,birthday song,NZ,iOS,,188,no,Happy Birthday Songs
2026-06-08,birthday song,GB,iOS,,185,no,Happy Birthday Songs
2026-06-08,birthday song gift,US,iOS,68,176,yes,Givingli: Send Gifts & Cards
2026-06-08,birthday song gift,CA,iOS,,179,no,Birthday Wishes & Cards
2026-06-08,birthday song gift,AU,iOS,139,173,yes,AI Song Maker. Music Generator
2026-06-08,birthday song gift,NZ,iOS,,163,no,Moonpig: Birthday Cards
2026-06-08,birthday song gift,GB,iOS,,173,no,GiftSong
2026-06-08,custom song,US,iOS,,185,no,Suno - AI Songs & Music
2026-06-08,custom song,CA,iOS,,191,no,Suno - AI Songs & Music
2026-06-08,custom song,AU,iOS,,194,no,Suno - AI Songs & Music
2026-06-08,custom song,NZ,iOS,,192,no,Suno - AI Songs & Music
2026-06-08,custom song,GB,iOS,,192,no,Suno - AI Songs & Music
2026-06-08,custom song gift,US,iOS,92,173,yes,Givingli: Send Gifts & Cards
2026-06-08,custom song gift,CA,iOS,,174,no,Magic Piano: game by Smule
2026-06-08,custom song gift,AU,iOS,152,175,yes,Magic Piano: game by Smule
2026-06-08,custom song gift,NZ,iOS,,164,no,TouchNote Custom Cards & Gifts
2026-06-08,custom song gift,GB,iOS,,171,no,Magic Piano: game by Smule
2026-06-08,father's day song,US,iOS,72,149,yes,Father’s Day Song Maker
2026-06-08,father's day song,CA,iOS,,146,no,Father's Day Photo Frames 2018
2026-06-08,father's day song,AU,iOS,97,151,yes,Father's Day Cards - Greetings
2026-06-08,father's day song,NZ,iOS,,142,no,Father's Day Cards - Greetings
2026-06-08,father's day song,GB,iOS,120,150,yes,Father's Day Photo Frames 2018
2026-06-08,father's day song for dad,US,iOS,145,154,yes,Fathers Day Quotes & Editor
